效果名	材质数	原 shader 列表	是否含未映射 shader	状态
EarthCrack_Single	3	Universal Render Pipeline/Particles/Unlit	否	OK
Earthquake Rockfall Board	5	Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Earthquake Rockfall Target	4	Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
EC Heldrake Attack	9	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, UI/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EC Heldrake Rally	11	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, UI/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EC Sword Cut Board DMC Style	1	Everguild/FX/Rays For Trail	是	OK
EC Target	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Particles/Standard Unlit, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
EC_Sonic Shock	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
EC_Sonic Stomp	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
EC_Target_user	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
EC_Target_user Lucius	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
EcstasyEffect	10	Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Emperors Children Generic Buff	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Emperors Children Generic Buff Record	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Emperors Children Scenario Bombardment	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Emperors Children Summon	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Astra Militarum Dawn Attack	6	Everguild/FX/Extra Color, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Astra Militarum Factory Overdrive	7	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Astra Militarum Planetary Invasion	25	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Spiral Trail FX, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Environmental Condition Black Legion Daemonic Feast	23	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Environmental Condition Black Legion Helfire Outburst	16	Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Particle Premultiply Greyscale Coloring, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Black Legion Warp Storm	27	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Environmental Condition Dark Angels Asteroid Zone	10	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Dark Angels Orbiting	4	Everguild/FX/Extra Color, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Dark Angels Void Combat	18	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Everguild/UnlitAmbient, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Environmental Condition Emperor's Children 1 Green	11	Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Emperor's Children 1 Pink REJECTED	10	Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Emperor's Children 2 Fumes	9	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Emperor's Children Empyric Rift	18	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Environmental Condition Emperor's Children Empyric Rift OLD	19	Everguild/FX/Extra Color, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Environmental Condition GSC Mining Tremors	18	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition GSC Sump Overspill	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Lit, Universal Render Pipeline/Particles/Unlit	是	OK
Environmental Condition GSC Sump Overspill OLD	10	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Lit, Universal Render Pipeline/Particles/Unlit	是	OK
Environmental Condition GSC Toxic Fumes	10	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Necrons Earthquake	23	Everguild/FX/Extra Color, Everguild/FX/Specific/Necrons Rays, Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Environmental Condition Necrons Immortal Beams	20	Everguild/FX/Extra Color, Everguild/FX/Specific/Necrons Rays, Mobile/Particles/Additive, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Environmental Condition Necrons Solar Storm	21	Everguild/FX/Extra Color, Everguild/FX/Specific/Necrons Rays, Everguild/FX/Unlit UV scroll, Mobile/Particles/Additive, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Environmental Condition Space Wolves Everstorm	15	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Environmental Condition Space Wolves First Light	16	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
Environmental Condition Space Wolves Full Moon	9	Everguild/FX/Alpha Mask One Layer, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Leviathan Acid Rain	12	Everguild/FX/Unlit UV scroll, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Leviathan Blazing Biomatter	11	Everguild/FX/Unlit UV scroll, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Leviathan Sweeping Infestation	12	Everguild/FX/Unlit UV scroll, Everguild/UnlitAmbient, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Saim Hann Blackout	9	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Saim Hann Infinity Circuit Overload	15	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Everguild/FX/Vortex, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
EnvironmentalCondition Saim Hann Webway Rift	24	Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, Universal Render Pipeline/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EnvironmentalCondition Sororitas Disrupted Ceremony	18	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Everguild/UnlitAmbient Emissive Flickker, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Sororitas Raging Storm	5	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Sororitas Shrine Bombardment	17	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Tau Electro-Static Interference	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Shader Graphs/Eclipse Tau, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EnvironmentalCondition Tau Radiation Storm	19	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Alpha Blended, Shader Graphs/Eclipse Tau, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EnvironmentalCondition Tau Solar Eclipse	4	Everguild/FX/Extra Color, Shader Graphs/Eclipse Tau, Universal Render Pipeline/Particles/Unlit	否	OK
EnvironmentalCondition Ultramarines Aerial Clash	33	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Everguild/UnlitAmbient, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Shader Graphs/Fx_ParticleDissolve_apb, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
EnvironmentalCondition Ultramarines Bombardment	20	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/Rays For Trail, Universal Render Pipeline/Particles/Unlit	是	OK
EnvironmentalCondition Ultramarines Thunderstorm	9	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Execution_BlackLegion	10	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion Fenrisian Monstrosities	15	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion Fenrisian Monstrosities Extra Damage	9	Everguild/FX/Extra Color, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion Hand UI	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion Hand UI 0,5s delay	5	Everguild/FX/Extra Color, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion Hive Fleet Arrival Explosions only	20	Everguild/FX/Burning, Everguild/FX/Burning Dissolve, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	是	OK
Explosion Hive Fleet Arrival Tendrils	17	Everguild/FX/Burning, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	是	OK
Explosion Hive Fleet Arrival Tendrils OLD	17	Everguild/FX/Burning, Everguild/FX/Burning Dissolve, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	是	OK
Explosion_BombQuick	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_BombQuick_triple	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_ConcealedExplosives	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_Debris	5	Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_Debris_UI	5	Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_gauss	8	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Explosion_gauss_yellow	6	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Explosion_Ground	1	Everguild/FX/Particle Premultiply	否	OK
Explosion_GroundBreak	10	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Explosion_Possession	7	Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Explosion_Short	4	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Factory Overdrive Damage	10	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Faith UI Gain	5	Universal Render Pipeline/Particles/Unlit	否	OK
Faith UI Trigger	5	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Universal Render Pipeline/Particles/Unlit	否	OK
Faith_trigger_unit	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
FastEffect	10	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
FeedingFrenzy	10	Universal Render Pipeline/Particles/Simple Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Ferocity_RecallToDeck	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
FerocityEffect	10	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Fire_Board	4	Universal Render Pipeline/Particles/Unlit	否	OK
FlameBurst_Sororitas	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
FlamethrowerBurna	9	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
FlamethrowerSingleAttack_1	7	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
FlamethrowerSingleAttack_2	6	Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
FlamethrowerSweepAttack_1	4	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
FlamethrowerSweepAttack_sororitas	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
FlankEffect	8	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Flayed One Summon	4	Universal Render Pipeline/Particles/Unlit	否	OK
FlyingEffect	7	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Forewarned_Board	3	Universal Render Pipeline/Particles/Unlit	否	OK
FrenziedEffect	5	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Gain_Sentry	8	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
GainShuriken	8	Everguild/FX/Extra Color, Everguild/FX/Particle Shine Custom Vertex Streams, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
GatlingSweep	13	Everguild/FX/Extra Color, Everguild/Matcap/Matcap With Texture, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Generic Tap Material	2	Universal Render Pipeline/Particles/Unlit	否	OK
Godspear Warhead Full	27	Everguild/FX/Alpha Mask One Layer, Everguild/FX/Alpha Masks Two Layer, Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Goff_GreatestWarboss	7	Everguild/Matcap/Matcap Full Options, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_ProperKilly	8	Everguild/FX/Glow Shader, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
Goff_ProphetOfDaWaaagh	6	Everguild/Matcap/Matcap Full Options, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_Rok_Invasion	4	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Mobile/Particles/Multiply, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_UnbridledCarnageEffect	7	Universal Render Pipeline/Particles/Simple Lit, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_Waaagh	4	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_WaaaghRed	3	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Goff_WaaaghRed_skulls	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
GreenSummonCircle	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
GSC RecallToHand	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
GSC Rockfall	6	Everguild/Matcap/Matcap Full Options, Legacy Shaders/Particles/Anim Alpha Blended, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
GSC Sabotage Use	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
GSC Summon	4	Universal Render Pipeline/Particles/Unlit	否	OK
GuardSummon	2	Universal Render Pipeline/Particles/Unlit	否	OK
Hammer_Slam_SW	16	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/ShieldVfx, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Hammer_Throw_SW	14	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/FX/ShieldVfx, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	是	OK
Healing_Circles	3	Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Healing_Projectile	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Healing_Projectile_Frost	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Healing_Projectile_Green	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Healing_Projectile_Ork	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
HeldrakeStrike	10	Everguild/FX/Extra Color, Everguild/FX/Particle Premultiply, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Helfire Burst Target	7	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Helspear_Assault_Buff	8	Universal Render Pipeline/Particles/Unlit	否	OK
HeroOfTheEmpire OLD	8	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Lit, Universal Render Pipeline/Particles/Unlit	否	OK
HeroRespiteEffect	6	Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Hexmark_Artifice_Deal1	9	Everguild/FX/Extra Color, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Hive Fleet Ground Growth	7	Everguild/FX/Extra Color, Mobile/Particles/Alpha Blended, Universal Render Pipeline/Particles/Unlit	否	OK
Hunta Rig Harpoon Hand	12	Everguild/FX/Unlit UV scroll, Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
HuntMark_DamageEffect	23	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
HuntMark_EndEffect	9	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
HuntMark_IdleEffect	11	Mobile/Particles/Additive, Mobile/Particles/Alpha Blended, Sprites/Default, Sprites/Mask, TextMeshPro/Distance Field, Universal Render Pipeline/Particles/Unlit	是	OK
HuntMark_StackEffect	9	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
HuntMark_StartEffect	12	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
HuntMark_User	5	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Immortal Beam	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Impact_blunt_lightning	7	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Impact_blunt_lightning_Big	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Impact_blunt_lightning_Big_Recoil	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Impact_Ground_Stomp	6	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit	否	OK
Impact_Ground_Stomp_Big	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Everguild/Matcap/Matcap Full Options, Universal Render Pipeline/Particles/Unlit	否	OK
Infernal_Gaze	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Infinity Circuit	5	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
InspiredRetributionEffect	11	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Invoke Minion Card Fade Default	4	Universal Render Pipeline/Particles/Unlit	否	OK
Invoke Minion Card Fade Legendary	2	Universal Render Pipeline/Particles/Unlit	否	OK
Invoke Minion Hits Ground	5	Shader Graphs/Fx_ParticleDissolve_apb, Shader Graphs/Fx_RockDissolve, Universal Render Pipeline/Particles/Unlit	否	OK
Invoke Minion Hits Ground Legendary	12	Everguild/FX/Extra Color, Shader Graphs/Fx_ParticleDissolve_apb, Shader Graphs/Fx_RockDissolve, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Invoke Minion Legendary ALT	7	Everguild/FX/Extra Color, Shader Graphs/Fx_ParticleDissolve_apb, Shader Graphs/Fx_RockDissolve, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffect	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectDark	8	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectGSC	7	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectGuard	6	Everguild/FX/Extra Color, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectSW	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectTau	7	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
InvulnerableEffectTyranid	6	Everguild/FX/Extra Color, Mobile/Particles/Additive, Sprites/Default, Sprites/Mask, Universal Render Pipeline/Particles/Unlit	否	OK
Jammed Communications damage	8	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
KhaineBuff	6	Everguild/Matcap/Matcap Full Options, Mobile/Particles/Additive, Universal Render Pipeline/Particles/Unlit	否	OK
Kroot_Summon_quick	3	Everguild/FX/Extra Color, Universal Render Pipeline/Particles/Unlit	否	OK
Laser_Red	9	Everguild/FX/Extra Color, Everguild/FX/Multi Ray, Everguild/FX/Particle Premultiply Greyscale Coloring, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
Lasrifle Offscreen Target	9	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	否	OK
Lasrifle_3shots	11	Everguild/FX/Extra Color, Everguild/FX/Particle Distortion Affect Transparents, Spine/Special/HiddenPass, Universal Render Pipeline/Particles/Unlit, WarpforgeVFX/Particles/Extra Color	是	OK
