keys,type,zh_CN
Companion 1: Swooping Hawk,~,伴生 1：俯冲猎鹰
Companion 1: Vengeful Wraithblade,~,伴生 1：复仇幽刃
Companion 1: Veteran Guardian,~,伴生 1：老兵守护者
Companion 1: Warlock,~,伴生 1：术士
Companion 1: Warp Spider Exarch,~,伴生 1：扭曲蜘蛛长老
Companion 1: Warp Spider,~,伴生 1：扭曲蜘蛛
Companion 1: Weapons Platform,~,伴生 1：武器平台
Companion 1: Winged Autarch,~,伴生 1：有翼总督
Companion 1: Witchblade Warlock,~,伴生 1：巫刃术士
Companion 1: Wraithblade,~,伴生 1：幽刃
Companion 1: Wraithguard,~,伴生 1：幽卫
Companion 1: Yrlla the Huntress,~,伴生 1：女猎手伊尔拉
Companion 1: Avatar of Khaine,~,伴生 1：凯恩化身
Companion 1: Blackout,~,伴生 1：黑幕
Companion 1: Infinity Circuit Overload,~,伴生 1：无限回路过载
Companion 1: Webway Rift,~,伴生 1：网道裂隙
Companion 1: Aerial Dominion,~,伴生 1：空中霸权
Companion 1: Ahnakh-Yth Shrine,~,伴生 1：阿纳赫-伊斯圣殿
Companion 1: Aspect Shrine,~,伴生 1：支派圣殿
Companion 1: Banshee Mask,~,伴生 1：女妖面具
Companion 1: Bladestorm,~,伴生 1：剑刃风暴
Companion 1: Cosmic Serpent,~,伴生 1：宇宙巨蛇
Companion 1: Craftworld Convergence,~,伴生 1：方舟世界汇聚
Companion 1: Dance of Death,~,伴生 1：死亡之舞
Companion 1: Deadly Ambush,~,伴生 1：致命伏击
Companion 1: Devoted of Khaine,~,伴生 1：凯恩信徒
Companion 1: Eldritch Storm,~,伴生 1：秘术风暴
Companion 1: Empyric Ambush,~,伴生 1：灵能伏击
Companion 1: Evasive Manoeuvre,~,伴生 1：规避机动
Companion 1: Fate Inescapable,~,伴生 1：宿命难逃
Companion 1: Fire and Fade,~,伴生 1：打了就跑
Companion 1: Flickerjump,~,伴生 1：闪烁跳跃
Companion 1: Forewarned,~,伴生 1：预警
Companion 1: Graceful Avoidance,~,伴生 1：灵巧规避
Companion 1: Hosts of the Dead,~,伴生 1：亡者军团
Companion 1: Infinity Circuit,~,伴生 1：无限回路
Companion 1: Inspiring Legacy,~,伴生 1：激励传承
Companion 1: Nightshade Interceptors,~,伴生 1：夜影拦截者
Companion 1: Path of Command,~,伴生 1：统御之道
Companion 1: Path of the Seer,~,伴生 1：先知之道
Companion 1: Path of the Warrior,~,伴生 1：战士之道
Companion 1: Reclaim the Stars,~,伴生 1：夺回群星
Companion 1: Skyborne Deployment,~,伴生 1：空降部署
Companion 1: Storm of Silence,~,伴生 1：寂静风暴
Companion 1: Sudden Assault,~,伴生 1：突袭
Companion 1: Wailing Doom,~,伴生 1：恸哭毁灭
Companion 1: Webway Entrance,~,伴生 1：网道入口
Companion 1: Webway Gate,~,伴生 1：网道之门
Companion 1: Webway Incursion,~,伴生 1：网道入侵
Companion 1: Whirling Death,~,伴生 1：回旋之死
Companion 1: Wild Host,~,伴生 1：狂野宿主
Companion 1: Will of Asuryan,~,伴生 1：阿斯尤扬之意志
Companion 1: Witchfire,~,伴生 1：巫火
Companion 1: Wrath of Khaine,~,伴生 1：凯恩之怒
Companion 1: Bright Lance Vyper,~,伴生 1：亮枪蝰蛇
Companion 1: Crimson Hunter,~,伴生 1：猩红猎手
Companion 1: Falcon,~,伴生 1：猎鹰
Companion 1: Farseer Skyrunner,~,伴生 1：先知天行者
Companion 1: Fire prism,~,伴生 1：火焰棱镜
Companion 1: Hemlock Wraithfighter,~,伴生 1：铁杉魂飞者
Companion 1: Hornet,~,伴生 1：大黄蜂
Companion 1: Night Spinner,~,伴生 1：夜纺者
Companion 1: Nuadhu Fireheart,~,伴生 1：努阿杜·火心
Companion 1: Shining Spear Exarch,~,伴生 1：闪耀之矛长老
Companion 1: Shining Spear,~,伴生 1：闪耀之矛
Companion 1: Shroud Runner,~,伴生 1：隐匿行者
Companion 1: Vyper,~,伴生 1：蝰蛇
Companion 1: War Walker,~,伴生 1：战争行者
Companion 1: Warlock Skyrunner,~,伴生 1：术士天行者
Companion 1: Wave Serpent,~,伴生 1：波浪蛇
Companion 1: Windrider,~,伴生 1：风行者
Companion 1: Wraithknight,~,伴生 1：幽骑士
Companion 1: Wraithlord,~,伴生 1：幽尊
Companion 1: Anvirr Keltoc,~,伴生 1：安维尔·凯尔托克
Companion 1: Eliac Zephyrblade,~,伴生 1：伊利亚克·泽菲刃
Companion 1: Medreyal Ghaelyn,~,伴生 1：梅德雷亚尔·盖林
Companion 1: Jain Zar,~,伴生 1：杰因·扎尔
Companion 1: Lhykhis,~,伴生 1：莱基斯
Companion 1: Adelaide the Serene,~,伴生 1：宁静的阿德莱德
Companion 1: Aestred-Thurga,~,伴生 1：艾斯特雷德-瑟加
Companion 1: Amalia Novena,~,伴生 1：阿玛莉亚·诺维娜
Companion 1: Arco-Flagellant,~,伴生 1：电鞭苦修者
Companion 1: Armorium Cherub,~,伴生 1：军械库小天使
Companion 1: Battle Sister Gunner,~,伴生 1：战斗修女枪手
Companion 1: Battle Sister,~,伴生 1：战斗修女
Companion 1: Canoness,~,伴生 1：教长
Companion 1: Celestian Sacresant,~,伴生 1：天界修女圣卫
Companion 1: Celestian Superior,~,伴生 1：天界修女长
Companion 1: Celestian,~,伴生 1：天界修女
Companion 1: Crusader,~,伴生 1：十字军战士
Companion 1: Death Cult Assassin,~,伴生 1：死亡教派刺客
Companion 1: Dialogus,~,伴生 1：执事
Companion 1: Dominion Superior,~,伴生 1：多米尼恩修女长
Companion 1: Dominion,~,伴生 1：多米尼恩修女
Companion 1: Ephrael Stern,~,伴生 1：埃弗拉尔·斯特恩
Companion 1: Hospitaller,~,伴生 1：医疗修女
Companion 1: Imagifier,~,伴生 1：圣像师
Companion 1: Ministorum Priest,~,伴生 1：国教牧师
Companion 1: Missionary,~,伴生 1：传教士
Companion 1: Preacher,~,伴生 1：布道者
Companion 1: Retributor,~,伴生 1：惩戒修女
Companion 1: Sacred Rose Sister,~,伴生 1：圣玫瑰修女
Companion 1: Saint Celestine,~,伴生 1：圣塞莱斯廷
Companion 1: Seraphim,~,伴生 1：炽天使
Companion 1: Simulacrum Bearer,~,伴生 1：圣像持有者
Companion 1: Simulacrum Imperialis,~,伴生 1：帝皇圣像
Companion 1: Sister Dogmata,~,伴生 1：教义修女
Companion 1: Sister Novitiate,~,伴生 1：见习修女
Companion 1: Sister Superior,~,伴生 1：修女长
Companion 1: Sisters Repentia,~,伴生 1：忏悔修女
Companion 1: Triumph of Saint Katherine,~,伴生 1：圣凯瑟琳凯旋
Companion 1: Zephyrim Superior,~,伴生 1：泽菲里姆修女长
Companion 1: Zephyrim,~,伴生 1：泽菲里姆修女
Companion 1: Beacon of Faith,~,伴生 1：信仰灯塔
Companion 1: Blade of Faith,~,伴生 1：信仰之刃
Companion 1: Cleansing Flames,~,伴生 1：净化之焰
Companion 1: Conviction of Faith,~,伴生 1：坚定信仰
Companion 1: Daemonbreaker,~,伴生 1：破魔者
Companion 1: Defenders of the Faith,~,伴生 1：信仰捍卫者
Companion 1: Devout Serenity,~,伴生 1：虔诚宁静
Companion 1: Devout Warriors,~,伴生 1：虔诚战士
Companion 1: Disrupted Sanctuary,~,伴生 1：受扰圣所
Companion 1: Divine Intervention,~,伴生 1：神圣干预
Companion 1: Emperor's Judgement,~,伴生 1：帝皇的审判
Companion 1: Fiery Conviction,~,伴生 1：炽热信念
Companion 1: Furious Reprisal,~,伴生 1：狂怒报复
Companion 1: Fury of the Righteous,~,伴生 1：义人之怒
Companion 1: Guidance of the Saints,~,伴生 1：圣徒指引
Companion 1: Hallowed Martyrs,~,伴生 1：圣洁殉道者
Companion 1: Holy Fire,~,伴生 1：圣火
Companion 1: Hymn of Battle,~,伴生 1：战斗圣歌
Companion 1: Imperial Creed,~,伴生 1：帝国信条
Companion 1: Inspiring Oratory,~,伴生 1：激励演说
Companion 1: Lead the Righteous,~,伴生 1：引领义人
Companion 1: Miraculous Feat,~,伴生 1：奇迹壮举
Companion 1: Prayer,~,伴生 1：祷文
Companion 1: Purgator Mirabilis,~,伴生 1：奇迹涤罪者
Companion 1: Raging Storm,~,伴生 1：狂暴风暴
Companion 1: Relics of Saint Katherine,~,伴生 1：圣凯瑟琳圣物
Companion 1: Righteous Repugnance,~,伴生 1：义愤
Companion 1: Rite of Restoration,~,伴生 1：复原仪式
Companion 1: Sacred Altar,~,伴生 1：圣坛
Companion 1: Sacred Rose,~,伴生 1：圣玫瑰
Companion 1: Shrine Bombardement,~,伴生 1：圣殿轰击
Companion 1: Shrineworld,~,伴生 1：圣殿世界
Companion 1: Slay the Heretic,~,伴生 1：斩杀异端
Companion 1: Spirit of the Martyr,~,伴生 1：殉道者之灵
Companion 1: Trial of Suffering,~,伴生 1：苦难试炼
Companion 1: Castigator,~,伴生 1：惩戒者
Companion 1: Exorcist,~,伴生 1：驱魔者
Companion 1: Immolator,~,伴生 1：焚化者
Companion 1: Mortifier,~,伴生 1：苦修机
Companion 1: Paragon Warsuit,~,伴生 1：典范战甲
Companion 1: Penitent Engine,~,伴生 1：忏悔引擎
Companion 1: Sororitas Rhino,~,伴生 1：修女犀牛
Companion 1: Celestian Sacresant Aveline,~,伴生 1：天界修女圣卫·阿芙琳
Companion 1: Erika Luminas,~,伴生 1：埃丽卡·卢米纳斯
Companion 1: Junith Eruita,~,伴生 1：朱妮丝·埃鲁伊塔
Companion 1: Morvenn Vahl,~,伴生 1：莫文·瓦尔
Companion 1: Moment of Grace,~,伴生 1：恩典时刻
Companion 1: Broadside Battlesuit,~,伴生 1：宽面甲
Companion 1: Coldstar Battlesuit,~,伴生 1：冷星甲
Companion 1: Crisis Battlesuit,~,伴生 1：危机甲
Companion 1: Crisis Bodyguard,~,伴生 1：危机护卫
Companion 1: Enforcer Battlesuit,~,伴生 1：执法者甲
Companion 1: Riptide Battlesuit,~,伴生 1：激流甲
Companion 1: Stealth Battlesuit,~,伴生 1：隐匿甲
Companion 1: Stealth Shas’ui,~,伴生 1：隐匿火氏士
Companion 1: Stormsurge Battlesuit,~,伴生 1：风暴甲
Companion 1: Grav Inhibitor Drone,~,伴生 1：重力抑制无人机
Companion 1: Guardian Drone,~,伴生 1：守护无人机
Companion 1: Gun Drone,~,伴生 1：枪无人机
Companion 1: Marker Drone,~,伴生 1：标记无人机
Companion 1: Missile Drone,~,伴生 1：导弹无人机
Companion 1: Sniper Drone,~,伴生 1：狙击无人机
Companion 1: Stealth Drone,~,伴生 1：潜行无人机
Companion 1: Aunshi Ethereal,~,伴生 1：昂希以太
Companion 1: Breacher Fire Warrior,~,伴生 1：突破者火氏战士
Companion 1: Breacher ShasUi,~,伴生 1：突破者火氏士
Companion 1: Cadre Fireblade,~,伴生 1：火刃干部
Companion 1: Darkstrider,~,伴生 1：暗行者
Companion 1: Fire Warrior Sniper,~,伴生 1：火氏狙击手
Companion 1: Fire Warrior,~,伴生 1：火氏战士
Companion 1: Firesight Marksman,~,伴生 1：锐眼射手
Companion 1: Flesh Shaper,~,伴生 1：血肉塑形者
Companion 1: Honoured Ethereal,~,伴生 1：荣耀以太
Companion 1: Kroot Carnivore,~,伴生 1：克鲁特食肉者
Companion 1: Kroot Hound,~,伴生 1：克鲁特猎犬
Companion 1: Krootox Rampager,~,伴生 1：克鲁特狂暴兽
Companion 1: Krootox Rider,~,伴生 1：克鲁特骑手
Companion 1: Lone-spear,~,伴生 1：独矛
Companion 1: Pathfinder,~,伴生 1：探路者
Companion 1: Strike Team,~,伴生 1：打击小队
Companion 1: Trail Shaper,~,伴生 1：踪迹塑形者
Companion 1: Vespid Stingwings,~,伴生 1：黄蜂族刺翼
Companion 1: Electro-Static Interference,~,伴生 1：静电干扰
Companion 1: Radiation Storm,~,伴生 1：辐射风暴
Companion 1: Solar Eclipse,~,伴生 1：日食
Companion 1: Burgeoning Empire,~,伴生 1：昌盛帝国
Companion 1: Coordinated Engagement,~,伴生 1：协同作战
Companion 1: Deploy Anchors,~,伴生 1：部署锚桩
Companion 1: Drone Companion,~,伴生 1：无人机伴生
Companion 1: Dynamic Offensive,~,伴生 1：动态攻势
Companion 1: Emergency Dispensation,~,伴生 1：紧急豁免
Companion 1: Ethereal Supreme,~,伴生 1：至尊以太
Companion 1: Experimental Drone,~,伴生 1：实验无人机
Companion 1: For the Greater Good,~,伴生 1：为至高善意
Companion 1: Fortified Positions,~,伴生 1：坚固阵地
Companion 1: Grisly Feast,~,伴生 1：血腥盛宴
Companion 1: Hero of the Empire,~,伴生 1：帝国英雄
Companion 1: Hidden Hunters,~,伴生 1：隐匿猎手
Companion 1: Homing Beacon,~,伴生 1：归航信标
Companion 1: Hunters Instincts,~,伴生 1：猎手本能
Companion 1: Inspired to Greatness,~,伴生 1：伟业感召
Companion 1: Kauyon Tactics,~,伴生 1：考恩战术
Companion 1: Priority Target,~,伴生 1：优先目标
Companion 1: Pulse Onslaught,~,伴生 1：脉冲猛攻
Companion 1: Razorshark Strike,~,伴生 1：剃刀鲨突袭
Companion 1: Recon Sweep,~,伴生 1：侦察扫荡
Companion 1: Relentless Fusillade,~,伴生 1：无情齐射
Companion 1: Saviour Protocolst,~,伴生 1：救世协议
Companion 1: Sense of Stone,~,伴生 1：石之感知
Companion 1: Serene Unifier,~,伴生 1：宁静统合者
Companion 1: Shield Generator,~,伴生 1：护盾发生器
Companion 1: Storm of Fire,~,伴生 1：风暴之火
Companion 1: Structural Analyzer,~,伴生 1：结构分析器
Companion 1: Technological Supremacy,~,伴生 1：科技霸权
Companion 1: Thundering Rampage,~,伴生 1：雷霆暴怒
Companion 1: Tidewall Droneport,~,伴生 1：潮墙无人机港
Companion 1: Tidewall Gunrig,~,伴生 1：潮墙炮架
Companion 1: Valued Sacrifice,~,伴生 1：崇高牺牲
Companion 1: Watch Tower,~,伴生 1：瞭望塔
Companion 1: Zephyr's Grace,~,伴生 1：和风之恩
Companion 1: DS8 Support Turret,~,伴生 1：支援炮塔
Companion 1: Devilfish,~,伴生 1：魔鬼鱼
Companion 1: Hammerhead,~,伴生 1：锤头鲨
Companion 1: Longstrike,~,伴生 1：长袭者
Companion 1: Piranha,~,伴生 1：食人鲳
Companion 1: Razorshark,~,伴生 1：剃刀鲨
Companion 1: Sky Ray Gunship,~,伴生 1：天雷炮艇
Companion 1: Sun Shark Bomber,~,伴生 1：日鲨轰炸机
Companion 1: Aun'Va,~,伴生 1：昂瓦
Companion 1: Commander O'Maisos,~,伴生 1：奥迈索斯指挥官
Companion 1: Shadowsun,~,伴生 1：影阳
Companion 1: War Shaper,~,伴生 1：战争塑形者
Companion 1: Hive Guard,~,伴生 1：蜂巢卫兵
Companion 1: Crushing Claws,~,伴生 1：粉碎之爪
Companion 1: Terror of Vardenghast,~,伴生 1：瓦登加斯特之恐
Companion 1: Barbgaunt,~,伴生 1：倒刺根
Companion 1: Biovore,~,伴生 1：孢子兽
Companion 1: Broodlord,~,伴生 1：繁育领主
Companion 1: Deathleaper,~,伴生 1：死神猎手
Companion 1: Gargoyle,~,伴生 1：石像鬼
Companion 1: Genestealer,~,伴生 1：基因窃取者
Companion 1: Hormagaunt,~,伴生 1：荷尔马根
Companion 1: Lictor,~,伴生 1：利克特
Companion 1: Mucolid Spore,~,伴生 1：黏液孢子
Companion 1: Neurogaunt Nodebeast,~,伴生 1：神经节虫巢兽
Companion 1: Neurogaunt,~,伴生 1：神经节虫
Companion 1: Neuroloid,~,伴生 1：神经虫体
Companion 1: Pyrovore,~,伴生 1：喷焰兽
Companion 1: Ravener,~,伴生 1：掠夺虫
Companion 1: Ripper Swarm,~,伴生 1：撕裂虫群
Companion 1: Spore Mine,~,伴生 1：孢子雷
Companion 1: Stranded Termagant,~,伴生 1：搁浅泰玛根
Companion 1: Termagant Brood,~,伴生 1：泰玛根巢群
Companion 1: Termagant,~,伴生 1：泰玛根
Companion 1: Tyranid Prime,~,伴生 1：泰伦首相
Companion 1: Tyranid Warrior,~,伴生 1：泰伦战士
Companion 1: Tyrant Guard,~,伴生 1：暴君卫队
Companion 1: Venomthrope,~,伴生 1：毒瘴兽
Companion 1: Von Ryans Leaper,~,伴生 1：瑞恩跳跃者
Companion 1: Zoanthrope,~,伴生 1：兽人脑
Companion 1: Carnifex,~,伴生 1：屠夫兽
Companion 1: Exocrine,~,伴生 1：外泌兽
Companion 1: Harpy,~,伴生 1：鹰身女妖
Companion 1: Haruspex,~,伴生 1：内脏占卜者
Companion 1: Hive Crone,~,伴生 1：蜂巢老妪
Companion 1: Hive Tyrant,~,伴生 1：蜂巢暴君
Companion 1: Maleceptor,~,伴生 1：灵能受体兽
Companion 1: Mawloc,~,伴生 1：巨口虫
Companion 1: Neurotyrant,~,伴生 1：神经元暴君
Companion 1: Norn Emissary,~,伴生 1：诺恩使者
Companion 1: Psychophage,~,伴生 1：噬魂兽
Companion 1: Screamer-Killer,~,伴生 1：尖啸杀手
Companion 1: Sporocyst,~,伴生 1：孢子囊
Companion 1: Tyrannocyte,~,伴生 1：泰伦孢囊
Companion 1: Tyrannofex,~,伴生 1：泰伦巨兽
Companion 1: Winged Tyrant,~,伴生 1：有翼暴君
Companion 1: Acid Rain,~,伴生 1：酸雨
Companion 1: Blazing Biomass,~,伴生 1：炽燃生物质
Companion 1: Sweeping Infestation,~,伴生 1：蔓延虫灾
Companion 1: Adrenal Surge,~,伴生 1：肾上腺激涌
Companion 1: Aerial Seeding,~,伴生 1：空中播种
Companion 1: Alpha Warrior,~,伴生 1：阿尔法战士
Companion 1: Ambush Predator,~,伴生 1：伏击掠食者
Companion 1: Apex Predator,~,伴生 1：顶级掠食者
Companion 1: Armoured Exoskeleton,~,伴生 1：装甲外骨骼
Companion 1: Augmented Ferocity,~,伴生 1：强化狂暴
Companion 1: Bestial Rage,~,伴生 1：兽性狂怒
Companion 1: Bounding Leap,~,伴生 1：腾跃
Companion 1: Brood Progenitor,~,伴生 1：巢群繁育者
Companion 1: Darkened Skies,~,伴生 1：昏暗天空
Companion 1: Devourer Cannon,~,伴生 1：吞噬者炮
Companion 1: Digestion Pool,~,伴生 1：消化池
Companion 1: Encircle the Prey,~,伴生 1：合围猎物
Companion 1: Enhanced Organism,~,伴生 1：强化生物体
Companion 1: Feeding Frenzy,~,伴生 1：进食狂潮
Companion 1: Hardened Biology,~,伴生 1：坚韧躯壳
Companion 1: Hive Commander,~,伴生 1：蜂巢指挥官
Companion 1: Hive Fleet Leviathan,~,伴生 1：蜂巢舰队利维坦
Companion 1: Hyper-adaptation,~,伴生 1：超速适应
Companion 1: Infestation Node,~,伴生 1：侵染节点
Companion 1: Infinite Biomorphologies,~,伴生 1：无限生物形态
Companion 1: Leviathans Tendrils,~,伴生 1：利维坦触须
Companion 1: Overwhelming Swarm,~,伴生 1：压倒性虫群
Companion 1: Predator Instincts,~,伴生 1：掠食者本能
Companion 1: Rapacious Hunger,~,伴生 1：贪婪饥渴
Companion 1: Ravenous Hunter,~,伴生 1：饥渴猎手
Companion 1: Spirit Leech,~,伴生 1：灵魂吸取
Companion 1: Sporecaster Biostructure,~,伴生 1：孢子投掷生物结构
Companion 1: Swarming Masses,~,伴生 1：虫群大军
Companion 1: Synaptic Imperative,~,伴生 1：突触律令
Companion 1: Toxic Entanglement,~,伴生 1：毒素缠绕
Companion 1: Toxic Miasma,~,伴生 1：毒雾
Companion 1: Toxic Vapours,~,伴生 1：毒气
Companion 1: Tyranid Invasion,~,伴生 1：泰伦入侵
Companion 1: Neurothrope,~,伴生 1：神经脑虫
Companion 1: SwarmLord,~,伴生 1：虫群领主
Companion 1: Tervigon,~,伴生 1：繁育母兽
Companion 1: Protective Bio-structure,~,伴生 1：防护生物结构
Companion 2: Logan Grimnar,~,伴生 2：洛根·格里姆纳
Companion 2: Aggressor,~,伴生 2：侵略者
Companion 2: Arjac Rockfist,~,伴生 2：阿尔贾克·岩拳
Companion 2: Blackmane Aggressor,~,伴生 2：黑鬃突击者
Companion 2: Blackmane Reiver,~,伴生 2：黑鬃掠夺者
Companion 2: Blood Claw Pack Leader,~,伴生 2：血爪兽群首领
Companion 2: Blood Claw,~,伴生 2：血爪
Companion 2: Deathwolf Scout,~,伴生 2：死亡狼侦察兵
Companion 2: Fenrisian Wolf,~,伴生 2：芬里斯狼
Companion 2: Frost Claw Wulfen,~,伴生 2：霜爪狼人
Companion 2: Fyrri Askar,~,伴生 2：菲里·阿斯卡尔
Companion 2: Grey Hunter Pack Leader,~,伴生 2：灰猎手兽群首领
Companion 2: Grey Hunter,~,伴生 2：灰猎手
Companion 2: Hrolf the Ironhowl,~,伴生 2：铁嚎·赫罗尔夫
Companion 2: Hunting Wolf,~,伴生 2：猎狼
Companion 2: Iron Priest,~,伴生 2：铁祭司
Companion 2: Long Fang,~,伴生 2：长牙
Companion 2: Morkai Eliminator,~,伴生 2：莫凯歼击者
Companion 2: Terminator Rune Priest,~,伴生 2：终结者符文祭司
Companion 2: Thunderwolf Cavalry Pack Leader,~,伴生 2：雷狼骑兵兽群首领
Companion 2: Thunderwolf Cavalry,~,伴生 2：雷狼骑兵
Companion 2: Tyrnak and Fenrir,~,伴生 2：提尔纳克与芬里尔
Companion 2: Wolf Guard Battle Leader,~,伴生 2：狼卫战斗领袖
Companion 2: Wolf Guard Headtaker,~,伴生 2：狼卫斩首者
Companion 2: Wolf Guard Terminator Pack Leader,~,伴生 2：狼卫终结者兽群首领
Companion 2: Wolf Guard Terminator,~,伴生 2：狼卫终结者
Companion 2: Wolf Priest,~,伴生 2：狼牧师
Companion 2: Wulfen Pack Leader,~,伴生 2：狼人兽群首领
Companion 2: Wulfen,~,伴生 2：狼人
Companion 2: Default Conditions,~,伴生 2：默认条件
Companion 2: Everstorm,~,伴生 2：永暴
Companion 2: First Light,~,伴生 2：初光
Companion 2: Full moon,~,伴生 2：满月
Companion 2: Anvil of Endurance,~,伴生 2：坚忍之砧
Companion 2: Birth of a Saga,~,伴生 2：传奇的诞生
Companion 2: Bjorn's Shrine,~,伴生 2：比约恩的神龛
Companion 2: Canis Helix,~,伴生 2：卡尼斯螺旋
Companion 2: Death Shun,~,伴生 2：死亡闪避
Companion 2: Embers of Prospero,~,伴生 2：普罗斯佩罗余烬
Companion 2: Fenrisian Blizzard,~,伴生 2：芬里斯暴风雪
Companion 2: Fenrisian Monstrosities,~,伴生 2：芬里斯巨兽
Companion 2: Fenrisian Runestones,~,伴生 2：芬里斯符文石
Companion 2: Fenrisian Wolfpack,~,伴生 2：芬里斯狼群
Companion 2: Halls of Legend,~,伴生 2：传奇殿堂
Companion 2: High King of Fenris,~,伴生 2：芬里斯至高王
Companion 2: High Rune Priest,~,伴生 2：高阶符文祭司
Companion 2: Hordeslayer,~,伴生 2：灭群者
Companion 2: Hunter's Guile,~,伴生 2：猎人诡计
Companion 2: Legendary Tenacity,~,伴生 2：传奇坚韧
Companion 2: Let Loose,~,伴生 2：释放
Companion 2: Living Lightning,~,伴生 2：活体闪电
Companion 2: Murderous Hurricane,~,伴生 2：致命飓风
Companion 2: Orbital Defences,~,伴生 2：轨道防御
Companion 2: Pack of One,~,伴生 2：孤狼兽群
Companion 2: Proper Hunt,~,伴生 2：正式狩猎
Companion 2: Raid Tactics,~,伴生 2：突袭战术
Companion 2: Saga of the Bold,~,伴生 2：无畏者传奇
Companion 2: Savage Legacy,~,伴生 2：野蛮传承
Companion 2: Tempest's Wrath,~,伴生 2：暴风之怒
Companion 2: The Fang,~,伴生 2：巨牙
Companion 2: Unbridled Fury,~,伴生 2：无拘狂怒
Companion 2: War Howl,~,伴生 2：战嚎
Companion 2: Bjorn the Fell-Handed,~,伴生 2：比约恩·凶爪
Companion 2: Blackmane Inceptor,~,伴生 2：黑鬃疾袭者
Companion 2: Fenrisian Drop Pod,~,伴生 2：芬里斯空降舱
Companion 2: Land Rider,~,伴生 2：兰德骑手
Companion 2: Murderfang,~,伴生 2：弑杀之牙
Companion 2: Stormwolf,~,伴生 2：风暴狼
Companion 2: Venerable Dreadnought,~,伴生 2：尊贵无畏机甲
Companion 2: Vindicator,~,伴生 2：复仇者
Companion 2: Wulfen Dreadnought,~,伴生 2：狼人无畏机甲
Companion 2: Njal Stormcaller,~,伴生 2：尼亚尔·风暴召唤者
Companion 2: Ragnar Blackmane,~,伴生 2：拉格纳·黑鬃
Companion 2: Lieutenant Titus,~,伴生 2：提图斯中尉
Companion 2: Desolation Marine,~,伴生 2：荒芜战士
Companion 2: 2nd Company Terminator,~,伴生 2：第二连终结者
Companion 2: Aggressor Sergeant,~,伴生 2：突击者军士
Companion 2: Antaro Chronus,~,伴生 2：安塔罗·克罗努斯
Companion 2: Apothecary Polixis,~,伴生 2：药剂师波利克西斯
Companion 2: Assault Centurion,~,伴生 2：突击百夫长
Companion 2: Assault Intercessor,~,伴生 2：突击仲裁者
Companion 2: Bladeguard Ancient,~,伴生 2：剑卫老兵
Companion 2: Bladeguard Lieutenant,~,伴生 2：剑卫中尉
Companion 2: Bladeguard Sergeant,~,伴生 2：剑卫军士
Companion 2: Captain Sicarius,~,伴生 2：西卡里乌斯队长
Companion 2: Chairon,~,伴生 2：凯隆
Companion 2: Chaplain Cassius,~,伴生 2：牧师卡西乌斯
Companion 2: Chapter Champion,~,伴生 2：战团冠军
Companion 2: Company Ancient,~,伴生 2：连队老兵
Companion 2: Devastator Centurion,~,伴生 2：毁灭者百夫长
Companion 2: Devastator Marine,~,伴生 2：毁灭者战士
Companion 2: Eliminator Sergeant,~,伴生 2：歼击者军士
Companion 2: Eliminator,~,伴生 2：歼击者
Companion 2: Epistolary Librarian,~,伴生 2：智典智库
Companion 2: Ferren Areios,~,伴生 2：费伦·阿雷奥斯
Companion 2: Firstborn,~,伴生 2：初生者
Companion 2: Heavy Intercessor,~,伴生 2：重装仲裁者
Companion 2: Hellblaster,~,伴生 2：炼狱爆弹兵
Companion 2: Honour Guard,~,伴生 2：荣誉卫队
Companion 2: Inceptor Sergeant,~,伴生 2：疾袭者军士
Companion 2: Incursor,~,伴生 2：渗透者
Companion 2: Intercessor Sergeant,~,伴生 2：仲裁者军士
Companion 2: Lieutenant Calsius,~,伴生 2：卡尔修斯中尉
Companion 2: Lieutenant with Combi-Weapon,~,伴生 2：组合武器中尉
Companion 2: Octavio Infiltrator,~,伴生 2：奥克塔维奥·渗透者
Companion 2: Phobos Librarian,~,伴生 2：暗影智库
Companion 2: Phobos Lieutenant,~,伴生 2：暗影中尉
Companion 2: Primaris Chaplain,~,伴生 2：原铸牧师
Companion 2: Primaris Eradicator,~,伴生 2：原铸歼灭者
Companion 2: Primaris Inceptor,~,伴生 2：原铸疾袭者
Companion 2: Primaris Intercessor,~,伴生 2：原铸仲裁者
Companion 2: Primaris Judiciar,~,伴生 2：原铸裁决者
Companion 2: Primaris Reiver,~,伴生 2：原铸掠夺者
Companion 2: Primaris Techmarine,~,伴生 2：原铸技术军士
Companion 2: Scout Sniper,~,伴生 2：侦察狙击手
Companion 2: Scout,~,伴生 2：侦察兵
Companion 2: Sergeant Allectius,~,伴生 2：阿莱克修斯军士
Companion 2: Sergeant Gadriel,~,伴生 2：加德里尔军士
Companion 2: Sergeant Telion,~,伴生 2：特利昂军士
Companion 2: Sternguard Sergeant,~,伴生 2：铁卫军士
Companion 2: Suppressor,~,伴生 2：压制者
Companion 2: Tactical Marine,~,伴生 2：战术战士
Companion 2: Terminator Captain,~,伴生 2：终结者队长
Companion 2: Terminator,~,伴生 2：终结者
Companion 2: Tyrannic War Veteran,~,伴生 2：泰伦战争老兵
Companion 2: Vico Therbeus,~,伴生 2：维科·瑟贝乌斯
Companion 2: Fleet Support,~,伴生 2：舰队支援
Companion 2: Normal Conditions,~,伴生 2：正常条件
Companion 2: Orbital Bombardment,~,伴生 2：轨道轰炸
